date,views,visits,Link clicks,interactions,reach
04-19-2024,6,153,3,18,1396
04-20-2024,1,57,5,2,819
04-21-2024,8,79,1,2,361
04-22-2024,6,152,4,1,744
04-23-2024,9,195,9,8,1243
04-24-2024,9,74,3,19,1066
04-25-2024,6,117,1,2,428
04-26-2024,5,69,2,9,713
04-27-2024,9,81,6,9,420
04-28-2024,7,73,7,1,422
04-29-2024,6,75,7,7,271
04-30-2024,7,100,1,1,209
05-01-2024,7,261,9,74,1870
05-02-2024,6,145,4,12,2144
05-03-2024,6,121,4,1,710
05-04-2024,4,133,2,11,785
05-05-2024,9,134,1,5,533
05-06-2024,2,90,8,2,310
05-07-2024,8,74,5,1,329
05-08-2024,2,105,3,1,478
05-09-2024,5,342,54,14,6935
05-10-2024,1,188,64,12,8216
05-11-2024,1,382,59,7,7293
05-12-2024,3,283,61,8,6741
05-13-2024,2,220,4,2,2030
05-14-2024,8,127,6,3,3578
05-15-2024,6,167,6,2,2193
05-16-2024,1,212,4,8,577
05-17-2024,1,111,3,4,638
05-18-2024,9,121,1,12,317
05-19-2024,9,112,8,1,253
05-20-2024,1,311,45,50,5815
05-21-2024,7,223,62,21,6244
05-22-2024,9,202,59,27,7275
05-23-2024,8,329,57,81,6308
05-24-2024,4,272,53,32,6321
05-25-2024,6,326,46,17,6202
05-26-2024,1,140,1,36,630
05-27-2024,6,81,1,6,294
05-28-2024,7,132,4,53,723
05-29-2024,9,289,9,129,2467
05-30-2024,3,72,8,4,240
05-31-2024,8,127,1,26,506
06-01-2024,6,106,9,4,301
06-02-2024,1,37,8,1,203
06-03-2024,1,96,2,1,219
06-04-2024,5,44,9,9,166
06-05-2024,4,232,9,43,2231
06-06-2024,6,211,9,26,980
06-07-2024,1,189,4,67,1320
06-08-2024,5,241,2,18,1565
06-09-2024,6,111,1,1,281
06-10-2024,1,139,7,3,295
06-11-2024,3,248,6,5,172
06-12-2024,4,143,4,6,348
06-13-2024,8,171,5,3,972
06-14-2024,6,359,9,225,2997
06-15-2024,4,284,1,46,1223
06-16-2024,8,103,8,7,750
06-17-2024,5,188,9,7,679
06-18-2024,2,181,3,3,568
06-19-2024,6,249,4,10,696
06-20-2024,8,209,7,21,651
06-21-2024,5,276,1,25,1041
06-22-2024,3,188,4,3,403
06-23-2024,4,121,3,6,494
06-24-2024,4,188,7,17,750
06-25-2024,3,223,1,16,2659
06-26-2024,6,329,2,11,3140
06-27-2024,1,311,1,8,1249
06-28-2024,1,292,6,15,881
06-29-2024,4,231,6,15,860
06-30-2024,5,257,9,4,1173
07-01-2024,6,367,5,92,2261
07-02-2024,6,192,2,44,1154
07-03-2024,4,314,2,52,1920
07-04-2024,1,322,1,61,2800
07-05-2024,1,331,1,39,1440
07-06-2024,9,424,3,25,1275
07-07-2024,3,270,4,11,1196
07-08-2024,5,206,1,12,1573
07-09-2024,2,244,2,96,1925
07-10-2024,5,378,7,81,2570
07-11-2024,5,302,1,54,3821
07-12-2024,7,403,5,46,2030
07-13-2024,7,315,2,23,1472
07-14-2024,9,315,3,17,1258
07-15-2024,3,343,6,7,695
07-16-2024,1,349,4,21,1054
07-17-2024,2,256,8,25,829
07-18-2024,3,212,2,3,525
07-19-2024,8,269,5,9,563
07-20-2024,1,258,3,3,286
07-21-2024,5,254,8,5,346
07-22-2024,9,289,2,25,1134
07-23-2024,8,353,4,73,2052
07-24-2024,4,338,7,37,1512
07-25-2024,4,356,4,36,1524
07-26-2024,2,312,6,41,1478
07-27-2024,2,368,9,8,751
07-28-2024,7,275,8,9,329
07-29-2024,5,366,9,55,1825
07-30-2024,2,445,1,62,1512
07-31-2024,7,388,5,71,1830
08-01-2024,4,463,1,85,2057
08-02-2024,9,319,8,72,2110
08-03-2024,3,620,1,171,4460
08-04-2024,1,569,2,155,5781
08-05-2024,4,477,5,114,4902
08-06-2024,2,387,4,79,2273
08-07-2024,9,461,4,72,1935
08-08-2024,3,431,3,142,2591
08-09-2024,9,319,7,43,1550
08-10-2024,1,375,4,52,1718
08-11-2024,3,371,4,111,2723
08-12-2024,1,410,1,85,2115
08-13-2024,5,443,8,44,2099
08-14-2024,7,351,3,159,4090
08-15-2024,4,280,7,13,958
08-16-2024,8,298,8,1,455
08-17-2024,1,330,6,53,2267
08-18-2024,9,274,6,74,2049
08-19-2024,3,322,4,60,2038
08-20-2024,9,298,3,23,1238
08-21-2024,5,261,8,53,1588
08-22-2024,9,183,7,18,1378
08-23-2024,7,136,2,22,804
08-24-2024,5,148,8,37,1406
08-25-2024,4,287,2,106,2788
08-26-2024,1,218,6,67,2085
08-27-2024,6,129,4,15,1058
08-28-2024,9,267,9,11,1232
08-29-2024,8,206,6,1,468
08-30-2024,3,233,6,45,928
08-31-2024,8,157,3,7,484
09-01-2024,4,218,4,2,617
09-02-2024,1,170,7,2,556
09-03-2024,9,144,5,3,636
09-04-2024,5,108,2,1,306
09-05-2024,4,99,9,4,224
09-06-2024,5,141,4,9,309
09-07-2024,3,192,4,2,269
09-08-2024,3,140,7,29,300
09-09-2024,9,118,5,16,197
09-10-2024,6,70,8,1,703
09-11-2024,2,142,1,7,354
09-12-2024,6,133,1,7,233
09-13-2024,8,114,7,7,242
09-14-2024,1,68,5,30,711
09-15-2024,3,252,2,201,3274
09-16-2024,8,129,1,82,2027
09-17-2024,1,143,9,71,1657
09-18-2024,9,95,9,15,556
09-19-2024,5,45,2,5,271
09-20-2024,8,90,1,3,183
09-21-2024,7,42,6,7,228
09-22-2024,514,135,2,3,1161
09-23-2024,168,125,1,8,531
09-24-2024,118,57,6,2,460
09-25-2024,82,30,6,7,706
09-26-2024,372,95,4,5,721
09-27-2024,250,95,4,9,892
09-28-2024,3394,123,8,68,1682
09-29-2024,2555,77,3,48,1073
09-30-2024,165,53,3,2,343
10-01-2024,352,67,1,4,601
10-02-2024,325,101,6,7,560
10-03-2024,124,25,3,4,317
10-04-2024,307,71,7,2,267
10-05-2024,219,54,7,6,285
10-06-2024,382,47,5,7,1058
10-07-2024,283,83,1,1,443
10-08-2024,166,41,3,1,305
10-09-2024,286,59,8,3,239
10-10-2024,266,79,7,2,1088
10-11-2024,302,127,1,66,1582
10-12-2024,326,73,1,23,706
10-13-2024,194,42,8,3,243
10-14-2024,146,81,2,8,396
10-15-2024,216,36,1,2,285
10-16-2024,105,32,2,3,169
10-17-2024,1286,106,1,35,2222
10-18-2024,436,103,9,2,430
10-19-2024,595,104,2,3,238
10-20-2024,229,144,2,6,879
10-21-2024,189,34,2,7,310
10-22-2024,170,101,2,6,252
10-23-2024,95,44,5,1,164
10-24-2024,195,60,1,1,153
10-25-2024,302,109,2,1,143
10-26-2024,238,45,6,2,240
10-27-2024,411,53,5,7,168
10-28-2024,279,99,6,1,136
10-29-2024,292,109,3,7,134
10-30-2024,300,129,2,2,174
10-31-2024,622,393,3,6,2831
11-01-2024,39294,247,3,1,1357
11-02-2024,82873,103,5,6,635
11-03-2024,44522,97,5,4,515
11-04-2024,375,113,3,7,1400
11-05-2024,618,104,2,9,433
11-06-2024,63,36,2,1,290
11-07-2024,495,86,2,8,254
11-08-2024,134,40,3,1,200
11-09-2024,680,101,6,10,456
11-10-2024,110,25,5,8,193
11-11-2024,639,71,7,5,418
11-12-2024,1394,146,7,32,534
11-13-2024,690,86,3,14,373
11-14-2024,1307,83,5,20,522
11-15-2024,7119,2034,9,61,1031
11-16-2024,2435,621,5,33,1249
11-17-2024,1346,223,7,29,863
11-18-2024,1924,376,6,51,813
11-19-2024,715,107,3,6,271
11-20-2024,348,89,7,8,172
11-21-2024,239,145,5,1,145
11-22-2024,329,105,2,5,142
11-23-2024,614,133,4,1,800
11-24-2024,300,219,7,3,669
11-25-2024,190,103,8,7,624
11-26-2024,250,78,8,3,363
11-27-2024,335,123,4,10,228
11-28-2024,730,121,6,8,470
11-29-2024,446,131,6,1,379
11-30-2024,61429,89,5,4,288
12-01-2024,72198,88,2,2,310
12-02-2024,83010,139,9,42,581
12-03-2024,6010,50,2,1,273
12-04-2024,127,27,5,4,143
12-05-2024,497,100,5,18,301
12-06-2024,567,69,4,32,313
12-07-2024,180,62,7,3,139
12-08-2024,455,114,4,6,153
12-09-2024,269,79,4,8,142
12-10-2024,272,93,1,1,106
12-11-2024,632,181,1,2,6765
12-12-2024,246,117,8,5,4068
12-13-2024,273,99,1,1,931
12-14-2024,290,79,8,2,660
12-15-2024,557,84,8,2,1134
12-16-2024,386,81,5,7,1485
12-17-2024,1460,157,9,13,2291
12-18-2024,88910,212,5,64,2006
12-19-2024,301935,353,137,36,23568
12-20-2024,357923,935,241,116,21277
12-21-2024,218876,410,39,27,5782
12-22-2024,3229,494,1,54,1388
12-23-2024,10077,550,1,106,2487
12-24-2024,3634,295,2,51,1303
12-25-2024,2655,406,8,53,3197
12-26-2024,1934,242,9,22,2213
12-27-2024,2914,247,1,31,2009
12-28-2024,159253,286,7,21,1604
12-29-2024,139534,208,6,2,811
12-30-2024,61000,210,5,27,782
12-31-2024,1795,174,3,30,664
01-01-2025,978,106,8,11,565
01-02-2025,1137,176,5,26,857
01-03-2025,1042,161,6,13,575
01-04-2025,308,74,2,2,337
01-05-2025,144,34,7,1,272
01-06-2025,1540,114,3,18,2066
01-07-2025,1589,76,2,41,907
01-08-2025,1602,146,1,37,621
01-09-2025,1002,91,3,11,539
01-10-2025,1891,124,3,46,569
01-11-2025,493,70,8,3,697
01-12-2025,377,62,1,4,277
01-13-2025,699,82,5,17,395
01-14-2025,3216,119,1,77,1305
01-15-2025,2280,87,7,64,1069
01-16-2025,948,100,1,15,540
01-17-2025,299,93,8,6,269
01-18-2025,144,28,9,9,208
01-19-2025,291,51,2,4,171
01-20-2025,715,75,4,23,434
01-21-2025,831,82,2,17,516
01-22-2025,1335,130,8,16,811
01-23-2025,1763,129,6,28,813
01-24-2025,1600,92,6,34,785
01-25-2025,462,27,1,28,350
01-26-2025,367,42,5,1,285
01-27-2025,637,56,2,11,355
01-28-2025,1478,113,5,17,585
01-29-2025,929,80,3,21,412
01-30-2025,1818,112,5,27,665
01-31-2025,691,97,2,11,300
02-01-2025,304,95,7,4,197
02-02-2025,228,77,4,1,161
02-03-2025,1076,64,4,21,498
02-04-2025,3094,149,6,63,914
02-05-2025,1088,59,1,36,493
02-06-2025,1107,72,2,17,499
02-07-2025,2699,97,4,56,1024
02-08-2025,731,50,9,5,444
02-09-2025,609,148,1,1,1103
02-10-2025,172997,146,66,29,6609
02-11-2025,205985,216,91,32,10810
02-12-2025,141997,209,94,43,9539
02-13-2025,277962,240,95,41,9737
02-14-2025,21899,183,24,49,4399
02-15-2025,953,125,2,3,348
02-16-2025,179,62,7,3,133
02-17-2025,2412,135,4,57,714
02-18-2025,1154,38,8,39,613
02-19-2025,1010,55,5,20,429
02-20-2025,1159,86,1,32,481
02-21-2025,2212,109,3,26,736
02-22-2025,275,91,7,4,190
02-23-2025,277,55,8,6,249
02-24-2025,3453,73,5,53,1404
02-25-2025,4983,58,5,14,406
02-26-2025,7158,98,9,31,474
02-27-2025,7208,98,1,19,417
02-28-2025,7461,81,6,41,601
03-01-2025,1491,51,1,5,184
03-02-2025,468,63,9,2,122
03-03-2025,485,46,7,8,242
