Nom,Pays,Note,Type de séjour,Chambre,Durée,Date du commentaire,Commentaire,Source,Country,Type_of_stay,Room,Duration,Comments,Score,Max_Rating,Sentiment,d4r55,fzvQIb,Date_Avis,Avis,Traduction,Nombre_Avis,Autre,w8nwRe,dSlJg,znYl0,dSlJg 2,znYl0 2,nM6d2c,DZSIDd,wiI7pd 2,Hzvxle,pkWtMe,fontBodySmall 3,fontBodySmall 4
,Gertrud (Allemagne,7.0,Famille,Chambre Double Supérieure - Vue sur Mer,6 nuits,23 septembre 2024,"Freundliches Personal
Frühstück Pappbecher für O-Saft und Plastiklöffel für Kaffee bzw. Joghurt
Tischdecken waren zum Teil schmutzig
Réponse de l'hôtel :
Hello, Thank you for your kind words about our friendly...",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mélina (France,8.0,Famille,Chambre Double vue sur Ville,5 nuits,3 novembre 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Husam (France,5.0,Famille,Chambre Double vue sur Ville,3 nuits,24 février 2025,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Salem (Ukraine,9.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,5 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Saifeddine (France,8.0,Couple,Chambre Double Supérieure - Vue sur Mer,1 nuit,6 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,5.0,Couple,Chambre Double Supérieure - Vue sur Mer,1 nuit,13 septembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Oussama (Tunisie,3.0,Couple,Chambre Double vue sur Ville,1 nuit (séjour incomplet),13 septembre 2022,"L'enfer
Rien
Rien",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,5.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,26 septembre 2022,"Un bel soggiorno
L'accoglienza eccellente
Traduction : Excellent séjour, accueil formidable.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Léna (France,8.0,Couple,Chambre Double vue sur Ville,2 nuits,26 novembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,5.0,Couple,Chambre Double vue sur Ville,2 nuits,7 décembre 2022,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,6.0,Couple,Chambre Double Supérieure - Vue sur Mer,8 nuits,8 janvier 2024,Ce client n'a pas laissé de commentaire.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mohamed (Italie,4.0,Couple,Chambre Double Supérieure - Vue sur Mer,3 nuits,31 janvier 2024,"Bello
La struttura è bella ma la gestione zero. Posizione.
Traduction : L’établissement est beau mais la gestion est nulle. Bon emplacement.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Bastien (Espagne,7.0,Couple,Chambre Double Supérieure - Vue sur Mer,4 nuits,22 mars 2024,"Suffisant pour un séjour à Bizerte
Le personnel très aimable et aidant. Chambre grande et confortable. Piscine intérieure super.
Le wifi ne fonctionne pas dans les chambres. Salle de sport payante et pas entretenue.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Jack (Royaume-Uni,2.0,Couple,Chambre Double vue sur Ville,2 nuits,9 avril 2024,"Seemed ok till we didn’t want a taxi anymore and the staff become a nightmare
Close to the beach
Staff, booked a taxi through the hotel and paid in advance. Wanted to cancel it and was told we couldn’t, and they didn’t know where our money was as their colleague had booked it.
Traduction : Proche de la plage. Le personnel a mal réagi quand on a voulu annuler un taxi réservé et payé d’avance. Ils ne savaient pas où était notre argent.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Elizabeth (Royaume-Uni,8.0,Couple,Chambre Double vue sur Ville,2 nuits,12 avril 2024,"Bon buffet, chambre confortable, personnel aimable.
Ensemble un peu fatigué, mériterait une rénovation.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Mohamed (Arabie Saoudite,7.0,Couple,Chambre Double Supérieure - Vue sur Mer,3 nuits,16 avril 2024,"Bonne localisation, belle vue, iftar satisfaisant.
Salle de sport et petit-déjeuner décevants.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Johanna (Allemagne,9.0,Couple,Chambre Double Supérieure - Vue sur Mer,4 nuits,25 avril 2024,"Chambre spacieuse avec balcon, vue mer magnifique, très calme.
Chasse d’eau difficile à utiliser.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Elyes (France,1.0,Couple,Chambre Double Supérieure - Vue sur Mer,1 nuit,6 juillet 2024,"Présence de cafards dans la salle de bain (10 tués).
Expérience choquante, hygiène inadmissible.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Ryad (Libye,5.0,Couple,Chambre Double Supérieure - Vue sur Mer,3 nuits,9 juillet 2024,Pas de commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Imed,France,9.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,18 juillet 2024,"Séjour très agréable
Le personnel sympathique, parking en face de l’entrée, belle vue et piscine agréable. Petit déjeuner très correct.
Rien",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Abdesselem,France,7.0,Couple,Chambre Double vue sur Ville,3 nuits,22 juillet 2024,"Bien
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Khalil,Canada,3.0,Couple,Chambre Double Supérieure - Vue sur Mer,2 nuits,23 juillet 2024,"Assez médiocre
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Pascale,France,6.0,Couple,Chambre Double vue sur Ville,5 nuits,30 juillet 2024,"Assez bien
La piscine est bien, le restaurant aussi, mais les chambres ne sont pas top.
2 personnes ont trouvé ce commentaire utile.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Ayadi,Tunisie,8.0,Couple,Suite 1 Chambre,3 nuits,31 juillet 2024,"Très bien
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,8.0,Couple,Suite 1 Chambre,2 nuits,5 août 2024,"Exceptionnel
Nous avons passé un très bon moment. Endroit très paisible, propre et élégant. Le personnel est discret et à l'écoute de nos désirs. Le restaurant est très propre, avec un buffet à volonté de bonne qualité et frais. Grand merci au chef et à la femme de ménage d'une gentillesse inégalée ailleurs. Hôtel digne de ses 4 étoiles, à recommander pour un séjour de noces.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,4.0,Couple,Chambre Double vue sur Ville,7 nuits,11 août 2024,"Exceptionnel
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Yasmine,France,5.0,Couple,Chambre Double vue sur Ville,3 nuits,15 août 2024,"Passable
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Lisa,Allemagne,5.0,Voyageur individuel,Chambre Double Supérieure - Vue sur Mer,2 nuits,30 juillet 2024,"Bien, mais la fumée et la nécessité de rénovation gâchent tout.
La localisation et la proximité de la plage étaient bonnes. Le buffet du petit déjeuner était gigantesque, avec une grande variété. Le personnel était très sympathique.
Cependant, partout où l'on allait, il y avait de la fumée. On peut même fumer dans les chambres. Tout était très vieux et aurait besoin de rénovations. La lumière dans ma chambre ne fonctionnait pas, seul un petit veilleuse était allumée. Il y avait un petit réfrigérateur dans la chambre qui ne se fermait pas correctement et brillait toute la nuit.",unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Mohamed,Tunisie,5.0,Voyageur individuel,Chambre Double vue sur Ville,1 nuit,14 février 2024,"Passable
Ce client n'a pas laissé de commentaire.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Apostolos,Grèce,6.0,Voyageur individuel,Chambre Double vue sur Ville,3 nuits,21 mars 2024,"Agréable
The staff was very polite, but during the winter when I visited, the hotel was only partially operational. The room was quite dirty, as well as the bathroom. There were garbage everywhere. On the first day, while I was lying down, the staff opened the door without knocking to take a chair. Everything seemed very improvised.",unknown,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Kevin,Royaume-Uni,8.0,Voyageur individuel,Chambre Triple - Vue sur Mer,3 nuits,16 avril 2024,"Good stay if slightly expensive
Bon séjour, mais un peu cher.
Excellente situation, piscine géniale, chambres sympas. Cependant, la nourriture était chère et moyenne.",unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
Ilaria,Italie,4.0,Voyageur individuel,Chambre Double vue sur Ville,1 nuit,28 avril 2024,"Draps sales, nappes sales à la table, salle de bain sale.",unknown,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Jamel (France,7.0,Voyageur solo,Chambre Double Supérieure - Vue sur Mer,,15 avril 2025,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,Farid (France,8.0,Voyageur solo,Chambre Double Supérieure - Vue sur Mer,,17 avril 2025,Aucun commentaire laissé.,unknown,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,ben abda o,5-May,a month ago,"Great Resort where we keep coming back due to the high service Quality: ||Food is great and the kitchen and service team are highly freindly, fast answering our requests and always provide our needs.|Wifi is covering most of the building â?¦",,,,,,,,,,,,,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Hassen S,5-Apr,a month ago,"Amazing accommodation, great reception, a high quality rooms, a good level food. The accommodated all our needs for the full duration. |The reception team always was at our highest expectations and they made checking in and out seamless and fun. I recommend",,,,,,,,,,,,,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,metahri y,5-May,a month ago,ÙÙ?Ø¯Ù? Ø¬Ù?Ù?Ù? Ù?Ø§Ø¯Ø¦ Ù?Ù?Ø§Ø³Ø¨ Ù?Ù?Ø¹Ø§Ø¦Ù?Ø§Øª |Ø·Ø§Ù?Ù? Ø§Ù?ÙÙ?Ø¯Ù? Ù?Ø§ Ø´Ø§Ø¡ Ø§Ù?Ù?Ù? Ø¹Ù?Ù?Ù?Ù? |Ø§Ù?Ø£Ù?Ù? Ù?Ù?Ø§Ø³Ø¨ Ù? Ù?Ø°Ø§Ù? Ø¬Ù?Ù?Ù? |Ø§Ù?ØºØ±Ù Ù?Ø¸Ù?ÙØ© Ù? Ù?Ø§Ø³Ø¹Ø© |Ø£Ù?ØµØ­ Ø¨Ù? Ù?Ù? Ù?Ù? Ù?Ø±Ù?Ø¯ Ø²Ù?Ø§Ø±Ø© Ø¨Ù?Ø²Ø±Øª Ù?Ø£Ù?Ù? Ø­Ù?Ù?Ù?Ø© | Ù?Ù?Ø§Ù? Ø£Ù?Ù? Ù?Ø§ Ù?Ù?Ù?Ù? Ø§Ù?Ù?Ù?Ù? Ø¹Ù?Ù? ÙÙ?Ù? Ø±Ø§Ø¦Ø¹| Ø¯Ù?ØªÙ? Ù?ØªØ£Ù?Ù?Ù?Ù?|Ù?Ø²Ù?Ø¯ Ù?Ù? Ø§Ù?ØªØ£Ù?Ù? Ù?Ø§Ù?Ù?Ù?Ø§ØµÙ?Ø© ÙÙ? ØªÙ?Ø¯Ù?Ù? Ø®Ø¯Ù?Ø§ØªÙ?Ù? Ø§Ù?Ø±Ø§Ø¦Ø¹Ø©...,See translation (English),,,,,,,,,,,,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,Mike h,5-Apr,a year ago,"Great hotel on the beach, and easy walking distance to medina. Staff excellent, and rooms of a  very good standard. Breakfast good, but no toasting machine or tea. Pool bar and restaurant very good but closes way too early around 5, which â?¦",,,,,,,,,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Obida T,5-May,7 months ago,Great place and fantastic workers! Really felt at home here. I want to mention Reem at the front desk who was very professional and assisted us with all our needs. My family and I enjoyed our vacation here in the beautiful city of Bin Zirte,,9 reviews,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,"Thank you very much for your kind words! We are delighted that you felt at home at Bizerta Resort. We will pass on your thanks to Reem, who will be delighted to know that she helped make your stay enjoyable. It was a pleasure to welcome your family, and we hope to see you again very soon in our beautiful city of Bizerte!",,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,NavigaSANDRA,5-Jan,a year ago,"A horrible hotel with horrible non-existent services. I strongly advise you not to go there, to sleep and eat in any case!!! The staff is not friendly|Fast food is very very basic|Aside from the location, whether it is the welcome, the service or the quality/price ratio, everything needs to be reviewed...",,,,,,,,,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Hellboy,5-May,9 months ago,ØªØ¬Ø±Ø¨Ù? ÙÙ? ØºØ§Ù?Ø© Ø±Ù?Ø¹Ù? ÙÙ?Ø¯Ù? Ù?Ù?ØªØ§Ø² Ù?Ù?Ø§Ø¸ÙÙ?Ù? Ø§Ø³ØªÙ?Ø¨Ø§Ù? ÙÙ? ØºØ§Ù?Ù? ØªØ±Ø­Ù?Ø¨ Ø®Ø§ØµÙ? Ù?Ù?Ø§Ø¸Ù Ù?Ù?Ø¯Ù? ØªØ¹Ø§Ù?Ù? Ù?Ù?ØªØ§Ø² ØºØ±Ù Ø¬Ø¯Ø§ Ù?Ø¸Ù?ÙÙ? Ø´Ø¨Ù?Ù? Ø§Ù?Ù?Ø§Ù? ÙØ§Ù? Ø³Ø±Ø¹Ù? Ù? Ù?Ù?ØªØ§Ø²Ù? Ø§Ù?Ù? Ø¬Ø¯Ø§ Ù?Ù?ØªØ§Ø² Ø§Ù?ØµØ­ Ø¨Ù? Ø¨Ø´Ø¯Ù?,See translation (English),3 reviews Â· 1 photo,î??,More,î£?,,î ,Share,Response from the owner,9 months ago,"Dear Customer, 
Many thanks for your positive review! We are delighted to know that you enjoyed your stay with us. Your satisfaction is our priority. We look forward to â?¦",Like,1.0,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,Sellani Abd elkarim (Notaire),5-May,3 months ago,ÙÙ?Ø¯Ù? Ù?Ù?ØªØ§Ø² Ø¬Ø¯Ø§ Ù?Ø®Ø¯Ù?Ø§Øª Ø¹Ø§Ù?Ù?Ø© Ù?Ø¥Ø³ØªÙ?Ø¨Ø§Ù? Ù?Ù?Ù?Ø² Ø¬Ø¯Ø§,See translation (English),Local Guide Â· 31 reviews Â· 3 photos,î??,More,î£?,Like,î ,Share,Response from the owner,3 months ago,Thank you for your commentð???. â?¦,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,Ayoub ID M'BARK,5-May,a year ago,"Wonderful experience ! I had during my recent stay at BIZERTA Hotel, I was impressed by the quality of service provided by the staff. â?¦",,Local Guide Â· 13 reviews,î??,More,î£?,,î ,Share,,,,Like,1.0,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,Racha Faracha,5-May,8 months ago,"ÙÙ?Ø¯Ù? Ù?Ø§Ø´Ø§Ø¡ Ø§Ù?Ù?Ù? Ù?Ù?ØµØ­Ù?  Ø¨Ø²Ù?Ø§Ø±ØªÙ?
Ø¬Ù?Ø¯ Ù?Ù? Ø­Ù?Ø« Ø§Ù?Ø§Ø³ØªÙ?Ù?Ø§Ù? Ù?Ø§Ù?Ù?Ø¸Ø§ÙØ© Ù?Ø­ØªÙ? Ø§Ù?Ù?Ø·Ø¹Ù? Ø§ØªÙ?Ù?Ù? Ø²Ù?Ø§Ø±ØªÙ? Ù?Ø±Ø© Ø§Ø®Ø±Ù?",See translation (English),1 review,î??,More,î£?,Like,î ,Share,Response from the owner,8 months ago,"Good morning,
Thank you for your warm review! We are delighted that you enjoyed your stay. Looking forward to seeing you again soon. â?¦",,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Taylan Dilek,5-Jan,3 years ago,"A complete disappointment. Internet coverage is not stable, almost none existing in the rooms. Water pressure was low in the bathroom. Cleanliness and hygiene are also not the strongest muscles. English language skills of the personnel need improvement as well. But the view is simply amazing.",,Local Guide Â· 60 reviews Â· 21 photos,î??,,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soon â¤.",,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,Laila E,5-Feb,5 years ago,The room is spacious. Bed is not comfortable and the duvet was not put in a cover. Itâ??s very basic for its price and definitely doesnâ??t compare to other 4 star hotels. Not recommended unless itâ??s location makes sense for you. The breakfast â?¦,,,,,,,,,,,,,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Fida N,5-Feb,7 years ago,"At first glance, the Bizerta Resort seems ok. The reception area, the grounds outside, the beach access, the nice outdoors pool and the heated indoors pool all give the illusion that it's a proper hotel. Even the rooms are spacious. But â?¦",,,,,,,,,,,,,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,Danushi D,5-Feb,6 years ago,"We booked a triple room. When we got there, an extra bed was in place but with no sheets and only one big towel for the 3 of us. We told the reception but then had to remind them a further 2 times for anything to get done. When the sheets â?¦",,,,,,,,,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,Ø§Ù?Ù?Ø§Ø¦Ù?Ù? Ø§Ù?Ø­Ø³Ù?Ù? Ø§Ù?Ù?Ø§Ø¦Ù?Ù?,5-May,5 years ago,"Ù?Ù?Ù?Ø¹ Ø¬Ø¯Ø§ Ø±Ø§Ø¦Ø¹ Ù?Ø³Ø¹Ø± 200 Ø¯Ù?Ù?Ø§Ø± ØªÙ?Ù?Ø³Ù? ÙÙ? Ù?Ø°Ø§ Ø§Ù?ØªØ§Ø±Ù?Ø® Ù?ØªØ¹Ø§Ù?Ù? Ø§Ù?Ù?Ù?Ø¸ÙÙ?Ù? Ø¬Ø¯Ø§ Ø¬Ù?Ù?Ù?.
Ù?Ù?Ù?ØµÙ? Ø¨Ø¹Ø¶ Ø§Ù?ÙØ±Ø´ Ø§Ù?Ø¬Ø¯Ù?Ø¯
ØµÙ?Øª Ø§Ù?Ù?Ù?Ø³Ù?Ù?Ù? Ø£Ù?Ø¶Ø§ ØµØ§Ø®Ø¨ â?¦",See translation (English),Local Guide Â· 65 reviews Â· 26 photos,î??,More,î£?,Like,î ,Share,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,Ø§Ù?Ù?Ø§Ù?Ù? Ø¨Ø±Ø§Ù?Ø®Ù?Ø§Ù? ØªÙ?Ù?Ø³,5-Apr,5 years ago,Ù?ØªÙ?Ù?Ø² Ù?Ø°Ø§ Ø§Ù?Ù?Ù?Ø§Ù? Ø¨Ø§Ù?Ù?Ø¯Ù?Ø¡ Ù?Ø§Ù?Ù?Ø¸Ø§ÙØ©   Ù?Ø¨Ø´Ø§Ø´Ø© Ø§Ù?Ù?Ø§Ø¦Ù?Ù?Ù? Ø¹Ù?Ù?Ù? . Ø£Ù?Ø§ Ø£Ø±ØªØ§Ø¯Ù? ÙÙ? Ø§Ù?Ù?Ù?Ø§Ø³Ø¨Ø§Øª Ø§Ù?Ù?Ù?Ù?Ø© Ø¹Ù?Ø¯Ù?Ø§ Ù?Ø­Ù? Ø¹Ù?Ù?Ù? Ù?Ø²Ù?Ø± Ø¯Ù?Ù?Ø© Ù? Ø³ÙÙ?Ø± Ø¯Ù?Ù?Ø© Ù?Ø§Ù?Ø¥Ø·Ø§Ø±Ø§Øª Ø§Ù?Ø¬Ù?Ù?Ù?Ø© ÙÙ? Ø¥Ø·Ø§Ø± Ø§Ù?Ø¹Ù?Ù? ØªÙ?Ù?Ù? Ø§Ù?Ø¨Ù?Ø¯Ù?Ø© Ø³Ø¨Ø§Ù?Ø© Ù?Ø±ÙØ¹ Ø§Ù?Ø£Ø¹Ù?Ø§Ù? Ø­Ù?Ø« Ø£Ù?Ù?Ù? Ø£Ù?Ø§  Ø­Ø§Ø¶Ø±Ø§ Ø¹Ù?Ù? Ù?ØªÙ? ØµÙ?Ø±Ù?Ø¬ Ø§Ù?Ù?Ù?Ø§Ù? Ù?Ø£Ù?Ù?Ù? Ø¨ØªÙ?Ø¸Ù?Ù Ù?Ø­Ù?Ø· Ù?Ø°Ø§ Ø§Ù?Ù?Ø¨Ù?Ù? . Ø¥Ù?Ù? Ø¹Ù?Ù? Ù?Ù?ØªØ¹ Ø«Ù?Ø§Ø«Ø© Ù?Ù?Ø§Ø«Ù?Ù? Ø³Ù?Ø© Ø¥Ù?Ù? Ø£Ù? Ù?Ø§Ø¯Ø§Ù?Ù? ØµÙ?Ø¯Ù?Ù? Ø§Ù?ØªÙ?Ø§Ø¹Ø¯,See translation (English),6 reviews Â· 1 photo,î??,,î£?,,î ,Share,,,,Like,1.0,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,Michael G,5-Jan,6 years ago,Old style hotel which needs refurbishing not to mention the dirt. A cookie that fell under my table took three days to be cleaned. Not tourist friendly....waiters need to know how to deal with tourists and make them happy. Wifi is disaster. Will not return to this hotel.,,,,,,,,,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,Ezdehar Alaqely,5-Apr,a year ago,Ø§Ù?ÙÙ?Ø¯Ù? Ø§Ù?ØªØ¹Ø§Ù?Ù? Ù?Ù?ØªØ§Ø² Ø§Ù?Ø§Ø·Ù?Ø§Ù?Ø© Ø¬Ù?Ù?Ù?Ø© Ø§Ù?Ø¨Ø­Ø±Ø¬Ù?Ù?Ù? Ø§Ù?Ø¨Ù?Ù?Ù?Ù?Ø©Ù? Ø¬Ù?Ù?Ù?Ø© Ù?Ù?Ù?Ù? Ù?Ø¯Ù?Ù? Ø¬Ø¯Ø§ Ù?Ø§Ø¨Ø¯ Ù?Ù? ØªØ¬Ø¯Ù?Ø¯Ù? Ù?Ø®Ø§ØµØ© Ø§Ù?Ø­Ù?Ø§Ù?Ø§Øª Ù?Ù?Ø±ÙØ© Ù?Ø§Ù?Ù?Ø¬Ø¯ Ø´Ø¨Ø´Ø¨ Ø­Ù?Ø§Ù? Ù?Ù?Ø§ ÙØ±Ø´Ø© Ø§Ø³Ù?Ø§Ù? Ù?Ù?Ø§ Ù?Ø¹Ø¬Ù?Ù? Ù?Ø§Ù?Ø¶Ø§ ØªØ­ØªØ§Ø¬ Ø§Ù?Ø­Ù?Ø§Ù?Ø§Øª Ù?Ø§Ù?ÙÙ?Ø¯Ù? ØªØ¬Ø¯Ù?Ø¯ÙØ§Ù?Ø¨Ù?Ø§Ø· Ù?Ù?Ø¬Ø¯ Ø¹Ù?Ù?Ù? Ø¨Ù?Ø¹ ØµØ¯Ø£ Ù?Ù?Ø²Ø²Ø© Ø§Ù?Ø¶Ø§ Ù?Ø§Ù?Ù?Ø¬Ø¯ Ø´ÙØ§Ø· Ù?Ù?Ø§Ø¡ Ù?Ù?ØªÙ?Ù?Ù?Ø© ÙÙ? Ø§Ù?Ø­Ù?Ø§Ù? Ø§Ù?Ø­Ù?Ø§Ù? Ø³Ø¨Ø¦ Ø¬Ø¯Ø§,See translation (English),Local Guide Â· 146 reviews Â· 4 photos,î??,More,î£?,,î ,Share,,,,Like,1.0,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Ah Mo,5-May,7 months ago,Excellent services and nice staff. The Lady named Reem that works here is very nice and helpful.,,9 reviews Â· 1 photo,î??,More,î£?,Like,î ,Share,Response from the owner,7 months ago,Thank you so much for your positive feedback! We're delighted to hear that you enjoyed our services and staff. Reem will be thrilled to know she helped make your stay enjoyable. We look forward to welcoming you back soon!,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,2022 Obvious1,5-Feb,3 years ago,"Dirty and rather unhygienic. Food gets recycled for about 3-4 days. However, staff were friendly. Hotel Nour next door is much better and cheaper.",,1 review,î??,,î£?,Like,î ,Share,Response from the owner,2 years ago,"Hello â¤, we would like to thank you for your review and we hope to see you again at our hotel very soon â¤.",,,,
,,,,,,,,Tripadvisor,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,Marija T,5-Jan,7 years ago,Oh well where do i begin...first of all we book this hotel because our friend had wedding so we had to stay one night...we book sea view room and paid for it and guess what got the street view...ok we won't bother it is just one night and â?¦,,,,,,,,,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,8.0,10.0,neutral,Eric W,5-May,3 years ago,Very reasonable prices and great Tunisian food. The lamb dishes are superb. The cuttlefish prepared with garlic was amazing. Deserts are plentiful too.,,Local Guide Â· 111 reviews Â· 25 photos,î??,,î£?,,î ,Share,,,,Like,1.0,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,6.0,10.0,neutral,Dan .,5-Mar,6 years ago,"Very nice view, friendly staff but the building is quite old and the restaurant feel you like you are eating the leftover of the previous meal... I went for Hotel Nura which is very close, much better and cheaper",,Local Guide Â· 87 reviews Â· 148 photos,î??,,î£?,Like,î ,Share,,,,,,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,5.0,10.0,neutral,Lokesh Sinha,5-May,11 months ago,"Nice place to stay and very good for weekend, with nice nice beaches near to resort",,Local Guide Â· 24 reviews Â· 57 photos,î??,More,î£?,,î ,Share,,,,Like,2.0,,
,,,,,,,,Google,unknown,unknown,unknown,unknown,no comment,7.0,10.0,neutral,B McKenzie,5-Apr,11 months ago,"The rooms are basic, but the view and silence is outstanding.",,Local Guide Â· 111 reviews Â· 266 photos,î??,More,î£?,,î ,Share,,,,Like,1.0,,
