Nom,Pays,Note,Type de s√©jour,Chambre,Dur√©e,Date du commentaire,Commentaire
,Nesrine (France,6.0,Famille,Double vue sur Ville,2 nuits,19 septembre 2022,Le m√©nage laisse √† d√©sirer.
,Moutia,6.0,Famille,Double Sup√©rieure - Vue sur Mer,4 nuits,12 octobre 2022,Aucun commentaire laiss√©.
,Boul_romille (France,7.0,Famille,Double vue sur Ville,1 nuit,23 octobre 2022,"Restaurant sous forme de buffet, agr√©able et bon prix. Peu de pression d'eau dans la salle de bain. H√¥tel situ√© proche d'une route passante."
,Christophe (France,7.0,Famille,Double vue sur Ville,1 nuit,30 novembre 2022,Aucun commentaire laiss√©.
,N√©ji (France,8.0,Famille,Double Sup√©rieure - Vue sur Mer,6 nuits,10 janvier 2024,Aucun commentaire laiss√©.
,,7,Famille,Double vue sur Ville,5 nuits,20 f√©vrier 2024,"Excellent, h√¥tel tr√®s bien situ√©, personnels tr√®s agr√©ables et professionnels. Merci pour ce s√©jour. Je recommande vivement cet h√¥tel."
,Rekaya (Allemagne,9.0,Famille,Double Sup√©rieure - Vue sur Mer,3 nuits,20 avril 2024,"L‚Äô√©quipement est un peu ancien, mais tr√®s propre. Le service √©tait excellent, personnel toujours aimable et tr√®s attentif. Emplacement central avec parkings disponibles."
,Martine (France,8.0,Famille,Triple - Vue sur Mer,2 nuits,4 juillet 2024,Aucun commentaire laiss√©.
,Thierry (France,8.0,Famille,Double Sup√©rieure - Vue sur Mer,5 nuits,12 juillet 2024,L‚Äôamabilit√© du personnel.
,Valeria (Italie,8.0,Famille,Double Sup√©rieure - Vue sur Mer,2 nuits,12 juillet 2024,"Tr√®s accueillant et √©l√©gant, staff professionnel et efficace. La structure est ancienne, non r√©nov√©e. La baignoire n‚Äôest pas accessible aux personnes √† mobilit√© r√©duite. L‚Äô√©tablissement devrait √™tre plus inclusif. Le Wi-Fi ne fonctionnait pas bien."
,,7,Famille,Double Sup√©rieure - Vue sur Mer,2 nuits,16 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,Oph√©lie (France,4.0,Famille,Triple - Vue sur Mer,2 nuits,20 juillet 2024,"La localisation. La propret√©, les √©quipements bas de gamme et le petit d√©jeun√© tr√®s moyen."
,,7,Famille,Double Sup√©rieure - Vue sur Mer,12 nuits,22 juillet 2024,"Top top, personnel accueillant, propret√© irr√©prochable, infrastructures nickel, buffet √† volont√© tr√®s vari√©, aliments frais. Vraiment rien √† redire, je recommande vivement l‚Äôh√¥tel. Bizerte est l'endroit id√©al pour vos vacances !"
,,7,Famille,Double vue sur Ville,2 nuits,27 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,Mourad (France,5.0,Famille,Triple - Vue sur Ville,1 nuit,29 juillet 2024,Rien. Tout limite insalubre.
,Mihaela (Roumanie,7.0,Famille,Triple - Vue sur Ville,1 nuit,31 juillet 2024,Ce client n'a pas laiss√© de commentaire.
,,7,Famille,Double vue sur Ville,6 nuits,3 ao√ªt 2024,L‚Äôaccueil. RAS.
,Nabil (Tunisie,7.0,Famille,Triple - Vue sur Ville,2 nuits,7 ao√ªt 2024,J√§tt bra men strand smutsigt. Strand l√•ng borta. (Tr√®s bien mais plage sale et √©loign√©e.)
,Benabdallah (France,6.0,Famille,Double vue sur Ville,2 nuits,9 ao√ªt 2024,"La piscine int√©rieure. Je n‚Äôai pas aim√© la moquette dans la chambre et le petit d√©jeuner √©tait ""pote""."
,Bochra (France,7.0,Famille,Double vue sur Ville,1 nuit,16 ao√ªt 2024,L‚Äôemplacement. Petit d√©jeuner tr√®s modeste.
,,8,Famille,Suite 1 Chambre,12 nuits,18 ao√ªt 2024,"A RECOMMANDER SUPER HOTEL PROPRE ET PERSONNEL AU TOP
Excellent, personnel agr√©able et tr√®s professionnel.
R√©ponse de l'h√¥tel :
Merci beaucoup pour votre excellent retour! Nous sommes..."
,Kouais (Tunisie,7.0,Famille,Chambre Triple - Vue sur Ville,4 nuits,9 septembre 2024,"C'√©tait correct
Le petit d√©jeuner n'√©tait pas vari√©. Les sanitaires (flexible, baignoire, fuite d'eau...) √©taient probl√©matiques.
R√©ponse de l'h√¥tel :
Merci d'avoir pris le temps de partager votre avis...."
,Mohamad (Liban,2.0,Famille,Chambre Double vue sur Ville,5 nuits,17 septembre 2024,Ce client n'a pas laiss√© de commentaire.
,Gertrud (Allemagne,7.0,Famille,Chambre Double Sup√©rieure - Vue sur Mer,6 nuits,23 septembre 2024,"Freundliches Personal
Fr√ºhst√ºck Pappbecher f√ºr O-Saft und Plastikl√∂ffel f√ºr Kaffee bzw. Joghurt
Tischdecken waren zum Teil schmutzig
R√©ponse de l'h√¥tel :
Hello, Thank you for your kind words about our friendly..."
,M√©lina (France,8.0,Famille,Chambre Double vue sur Ville,5 nuits,3 novembre 2024,Ce client n'a pas laiss√© de commentaire.
,Husam (France,5.0,Famille,Chambre Double vue sur Ville,3 nuits,24 f√©vrier 2025,Ce client n'a pas laiss√© de commentaire.
,Salem (Ukraine,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,5 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Saifeddine (France,8.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,6 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Anonyme (Tunisie,3.0,Couple,Chambre Double vue sur Ville,3 nuits,9 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,,5,Couple,Chambre Double Sup√©rieure - Vue sur Mer,1 nuit,13 septembre 2022,Ce client n'a pas laiss√© de commentaire.
,Oussama (Tunisie,3.0,Couple,Chambre Double vue sur Ville,1 nuit (s√©jour incomplet),13 septembre 2022,"L'enfer
Rien
Rien"
,,5,Couple,Chambre Double Sup√©rieure - Vue sur Mer,2 nuits,26 septembre 2022,"Un bel soggiorno
L'accoglienza eccellente
Traduction : Excellent s√©jour, accueil formidable."
,L√©na (France,8.0,Couple,Chambre Double vue sur Ville,2 nuits,26 novembre 2022,Ce client n'a pas laiss√© de commentaire.
,,5,Couple,Chambre Double vue sur Ville,2 nuits,7 d√©cembre 2022,Ce client n'a pas laiss√© de commentaire.
,,6,Couple,Chambre Double Sup√©rieure - Vue sur Mer,8 nuits,8 janvier 2024,Ce client n'a pas laiss√© de commentaire.
,Mohamed (Italie,4.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,31 janvier 2024,"Bello
La struttura √® bella ma la gestione zero. Posizione.
Traduction : L‚Äô√©tablissement est beau mais la gestion est nulle. Bon emplacement."
,Bastien (Espagne,7.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,4 nuits,22 mars 2024,"Suffisant pour un s√©jour √† Bizerte
Le personnel tr√®s aimable et aidant. Chambre grande et confortable. Piscine int√©rieure super.
Le wifi ne fonctionne pas dans les chambres. Salle de sport payante et pas entretenue."
,Jack (Royaume-Uni,2.0,Couple,Chambre Double vue sur Ville,2 nuits,9 avril 2024,"Seemed ok till we didn‚Äôt want a taxi anymore and the staff become a nightmare
Close to the beach
Staff, booked a taxi through the hotel and paid in advance. Wanted to cancel it and was told we couldn‚Äôt, and they didn‚Äôt know where our money was as their colleague had booked it.
Traduction : Proche de la plage. Le personnel a mal r√©agi quand on a voulu annuler un taxi r√©serv√© et pay√© d‚Äôavance. Ils ne savaient pas o√π √©tait notre argent."
,Elizabeth (Royaume-Uni,8.0,Couple,Chambre Double vue sur Ville,2 nuits,12 avril 2024,"Bon buffet, chambre confortable, personnel aimable.
Ensemble un peu fatigu√©, m√©riterait une r√©novation."
,Dani√´l (Pays-Bas,9.0,Couple,Chambre Triple - Vue sur Ville,2 nuits,13 avril 2024,Pas de commentaire laiss√©.
,Mohamed (Arabie Saoudite,7.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,3 nuits,16 avril 2024,"Bonne localisation, belle vue, iftar satisfaisant.
Salle de sport et petit-d√©jeuner d√©cevants."
,Johanna (Allemagne,9.0,Couple,Chambre Double Sup√©rieure - Vue sur Mer,4 nuits,25 avril 2024,"Chambre spacieuse avec balcon, vue mer magnifique, tr√®s calme.
Chasse d‚Äôeau difficile √† utiliser."
,Borjaeugui (Espagne,9.0,Couple,Chambre Double vue sur Ville,1 nuit,22 juin 2024,"Tr√®s bien situ√©, proche du centre et en bord de plage, belle piscine.
Petit d√©jeuner basique, manque d‚Äô√©quipements."
,Roberto (Italie,10.0,Couple,Chambre Double vue sur Ville,2 nuits,29 juin 2024,"Personnel tr√®s courtois, structure propre et tr√®s bien situ√©e.
Aucun point n√©gatif √† signaler."
,Sihem (France,1.0,Couple,Chambre Double vue sur Ville,2 nuits,4 juillet 2024,"Rien.
S√©jour tr√®s d√©cevant, je ne reviendrai pas."
flo,5-Jan,3 years ago,Google,"Hotel with potential, but very poorly exploited! Large, bright room but old and not very clean (carpet, shower seal, tiles, etc.) wifi only in the hotel lobby because in the rooms it works very, very poorly! (the director and employees are ‚?¶",See original (French),8 reviews,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
Lydia Dg,5-May,2 years ago,Google,"One-week stay.
Attentive and attentive staff.
Breakfast a little disappointing, but everything else was very good. ‚?¶",See original (French),8 reviews,Ó??,More,Ó£?,,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon ‚ù§.",Like,2,Translated by Google,„?ª
Sabri Benlahoual,5-May,2 years ago,Google,"We are currently staying at the hotel for four nights. The room staff took great care of us. The pool was clean and the restaurant was good. Everything went well during check-in, and our room was exactly as we expected. We will definitely be back soon.",See original (French),Local Guide ¬∑ 40 reviews ¬∑ 10 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon ‚ù§.",,,Translated by Google,„?ª
Iane Sof,5-Jan,7 years ago,Google,"We had a terrible night.
* A smell of ""fuel"" in the room (used to clean the carpet). After changing rooms, we got another one with the same terrible smell. ‚?¶",See original (French),Local Guide ¬∑ 5 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Chamoune briquet,5-Feb,2 years ago,Google,"Hotel which could be nice and get 4 stars except that the swimming pool is ridiculous with too many people outside inside, filtered! And in the air conditioning which makes the sound of a washing machine spinning, which barely works! ‚?¶",See original (French),Local Guide ¬∑ 47 reviews ¬∑ 15 photos,Ó??,More,Ó£?,,Ó†ç,Share,Response from the owner,2 years ago,"We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention.
Kind regards.",Like,1,Translated by Google,„?ª
JumperBasel,5-Mar,14 years ago,Tripadvisor,"I've stayed at this hotel three times now while traveling for business. If you're lucky enough to get a room facing the sea, it's a very pleasant stay. The hotel is right on the sea and therefore offers a wonderful view of the ‚?¶",See original (German),,,,,,,,,,,,,Translated by Google,„?ª
Anonyme,5-Jan,a year ago,Google,"Warning ‚?†Ô∏è ‚??Ô∏è
Bad experience, bad stay
Food and customer service: ‚?¶",See original (French),1 review,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
Gabriele V,5-Apr,7 years ago,Tripadvisor,"I stayed at the hotel for a long time for work reasons. It is really comfortable, very clean compared to the standards I have seen elsewhere. Large rooms and if with a view of the pool and the sea, a real spectacle.||Large and clean ‚?¶",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
cherif Ben abdelkader,5-May,2 years ago,Google,"I stayed at this hotel, which I knew from my vacation, but during the day.
I stayed there from October 15th until this morning.
The staff is competent and attentive. ‚?¶",See original (French),2 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon‚ù§",,,Translated by Google,„?ª
Mondher Tebourbi,5-May,a year ago,Google,"very nice hotel, welcome, restaurant, rooms everything is there. We enjoyed ourselves, special mention for the restaurant staff, a big thank you for the whole team, I will keep your address for my friends, I will definitely recommend it again",See original (French),6 reviews,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
Y S,5-May,2 years ago,Google,"Very warm welcome at the reception Mr Maher and his team are very professional, very clean room and Mrs Nour, head of the housekeeping team, is very attentive!! Clean swimming pool and lively service at the pool bar which demonstrates the ‚?¶",See original (French),2 reviews ¬∑ 1 photo,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon‚ù§.",,,Translated by Google,„?ª
Gianni S,5-Jan,9 years ago,Tripadvisor,"First of all I don't know how they called it a Resort, since it has nothing to do with a resort. We stayed in this terrible hotel in mid-August, we booked for three days, but on the first day we ran away. They are not organized at all. In ‚?¶",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
Elisa Debreux,5-May,4 years ago,Google,"I don't know if it was due to our second stay at the hotel between other excursions in Tunisia, or to the tip left to the room staff last time. But when we came back from breakfast we were surprised to find our room without the do not ‚?¶",See original (French),Local Guide ¬∑ 49 reviews ¬∑ 24 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
Sophia Iklef,5-Jan,a year ago,Google,"Hotel to avoid!!
Poor hygiene, non-existent service
As for the pool and restaurant staff, very aggressive bordering on violent ‚?¶",See original (French),7 reviews,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,5,Translated by Google,„?ª
Claudio Borsotti,5-Apr,9 years ago,Google,"I have frequented this hotel for several years, I think it is the best in the city; very spacious rooms, always very clean and helpful staff.
the external area should be used better. ‚?¶",See original (Italian),"Local Guide ¬∑ 460 reviews ¬∑ 3,854 photos",Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
m 1000,5-Jan,11 months ago,Google,"Deplorable hygiene at the indoor pool.
The indoor pool staff is very aggressive and violent.
Lacking professionalism.
I do not recommend it.",See original (French),5 reviews,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Maurizio S,5-May,2 years ago,Tripadvisor,EVERYTHING PERFECT|Very large and very beautiful structure located on the seafront equipped with all the services...|Beautiful outdoor swimming pool and a very large indoor one.|The restaurant was also a wonderful surprise...|International ‚?¶,See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
bieffe73,5-Mar,6 years ago,Tripadvisor,"I spent two nights in this hotel since I was in the area for work. It is a good hotel with acceptable comfort. | Very quiet, with rooms overlooking the beach. | Common areas visited: only the breakfast room which has a satisfactory offer. |",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
Ghazi Timoumi,5-Jan,3 years ago,Google,"Rude staff! When checking in, a friend forgot his cin in the car. While he is looking for her, the receptionist shows us around the room. Our friend joins us upstairs and there the receptionist throws a fit, because he joined us without ‚?¶",See original (French),Local Guide ¬∑ 17 reviews ¬∑ 10 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
FRANGLE PLAYZ,5-Mar,8 months ago,Google,The room is beautiful but the service was nasty,See original (French),1 review,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,8 months ago,"Good morning,

We thank you for your feedback. We are delighted that you enjoyed the room. ‚?¶",,,Translated by Google,„?ª
gr r,5-Apr,5 years ago,Tripadvisor,"The rating is above average for the ratio between what is offered (dinner, breakfast and room) and the price. The structure would need reconditioning. | However, a quiet and pleasant stay. Average service. |",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
Emna Lahbib,5-May,a year ago,Google,"It was pleasant, clean, and quiet. The sea was easily accessible, and the pool was majestic and spotlessly clean. I highly recommend it.",See original (French),Local Guide ¬∑ 38 reviews ¬∑ 117 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Pare Brise Laval Inc.,5-May,4 years ago,Google,"This hotel is well managed by professionals, welcoming staff, the common areas, the rooms, and the beach are very clean, fresh food of good quality acceptable, I got good value for my money I highly recommend it thank you next time.",See original (French),42 reviews ¬∑ 9 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Abdelmouneam GHORISSI,5-May,2 years ago,Google,"I spent a few nights here in July. It's a really nice hotel. Personally, I loved it. It's right on the waterfront with a wonderful beach and an even better pool. You'll be very comfortable. The most important thing is the location. It's ‚?¶",See original (French),Local Guide ¬∑ 54 reviews ¬∑ 388 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello sir‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon dear customer‚ù§.",,,Translated by Google,„?ª
Me_gusta_viajar_mar,5-Apr,15 years ago,Tripadvisor,"It was said to be the best hotel in town, and I believe it. Good customer service, clean, and fairly spacious rooms. Located on the beach, with restaurants and shops nearby. ||||There's Wi-Fi in the reception area, and you can sometimes ‚?¶",See original (Spanish),,,,,,,,,,,,,Translated by Google,„?ª
Moustafa Bendimerad P,5-Jan,2 years ago,Google,"An old hotel that doesn't deserve its 4 stars at all.

Incompetent staff. Cleanliness leaves something to be desired in the bathroom. ‚?¶",See original (French),12 reviews,Ó??,More,Ó£?,,Ó†ç,Share,Response from the owner,2 years ago,We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention. Kind regards.,Like,1,Translated by Google,„?ª
Sahbi MILED,5-Jan,2 years ago,Google,"Entertainment - none
Restaurant - bland food, breakfast to be avoided. As for the bar, it's not at all what you'd expect (no cocktails, and no non-smoking area). ‚?¶",See original (French),1 review,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention.
Kind regards.",,,Translated by Google,„?ª
imen bouz,5-May,2 years ago,Google,"I recommend this friendly hotel, modern and clean rooms, welcoming staff I only stayed one night but I will be back very soon",See original (French),4 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we hope you enjoyed your stay at our hotel dear customer, we hope to see you again at our hotel very soon.",,,Translated by Google,„?ª
Caroline Devos,5-Mar,a year ago,Google,"I have been a customer of this hotel for years...there are many things that could be improved, especially cleanliness and tidiness. But this is Tunisia...the standards here are much lower than ours. The friendliness of the staff more than ‚?¶",See original (Dutch),"Local Guide ¬∑ 118 reviews ¬∑ 1,542 photos",Ó??,More,Ó£?,,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon ‚ù§.",Like,1,Translated by Google,„?ª
Meriem Miaoui- jerbi,5-Jan,11 months ago,Google,The indoor pool is very dirty. Pool staff are unprofessional. Never again....,See original (French),5 reviews,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Rastafarai R,5-Apr,7 years ago,Tripadvisor,"clean hotel with various services, ranging from reception to body care.||Rooms always very clean and fragrant, just put the appropriate marker ""clean my room"" and you will be satisfied, the only inconvenience is that for two days there was ‚?¶",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
Roberto C,5-Apr,5 years ago,Tripadvisor,"I stayed three days in the hotel, for work reasons.|The room was very large and well furnished, with a balcony overlooking the sea.|Clean and comfortable, the only flaw, not all the electrical outlets worked...|The restaurant is also quite ‚?¶",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
Hermann K,5-Apr,8 years ago,Tripadvisor,I've stayed at this hotel several times for business. It's a very well-maintained hotel with good service. Ms. Ben Hassine at the reception desk speaks good German and looked after us very well. I'd love to come back next year!,See original (German),,,,,,,,,,,,,Translated by Google,„?ª
Zineb,5-Jan,6 years ago,Google,"Bad experience, apart from being disgusting, hair in the sheets, rice stuck to it, the toilet covered in drops of who knows what, the carpet not vacuumed. On top of all this, I asked for a taxi for 5:30 a.m. and they told me it would cost ‚?¶",See original (Spanish),Local Guide ¬∑ 44 reviews ¬∑ 91 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Rudolf,5-Mar,6 years ago,Google,"Hotel Bizerta, part of the city of Bizerta. The staff is nice and helpful. Communication possible in English and French. Possibility of half board, the food is very tasty, you need to get used to a different cuisine but that's fine. The ‚?¶",See original (Slovak),Local Guide ¬∑ 46 reviews ¬∑ 343 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Meriem Hammada,5-Feb,6 years ago,Google,"Clean and luxurious hotel.
Superb hotel staff!
Tea room belonging to the hotel complex (caf√© sidi salem): clean, pleasant and ‚?¶",See original (French),8 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
luca mario leonardo quaresima,5-Apr,3 years ago,Google,"Clean hotel and helpful staff, a location very close to the beach, restaurant with many different dishes every day. At the bar they serve alcohol and you can smoke ......",See original (Italian),Local Guide ¬∑ 62 reviews ¬∑ 54 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Nasser HARFOUSH,5-May,a month ago,Google,You must book in advance,See original (French),"Local Guide ¬∑ 136 reviews ¬∑ 1,393 photos",Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Youssef Zrirak,5-Apr,2 years ago,Google,"Very warm welcome, clean and spacious hotel. A big thank you to all the hotel staff (reception, restaurant) and especially Mr. (Ghassen B Alay)",See original (French),1 review,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello, We would like to thank you for your review and we hope to see you again at our hotel",,,Translated by Google,„?ª
Marjolaine Mechergui,5-May,2 years ago,Google,"We've been going there for two years, perfect stay, very clean room, perfect lunch, attentive room staff, we'll be back in April 2023",See original (French),4 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Wahib Meradji,5-May,5 months ago,Google,Clean swimming pool and beautiful sea view,See original (French),Local Guide ¬∑ 19 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,3 months ago,Thank you for your feedback. We hope to see you again very soon!,,,Translated by Google,„?ª
Nesrine Zouari,5-Apr,2 years ago,Google,"Good hotel with sea view, just be prepared to pay on site. The price remains excessive compared to the end of the season but there is no choice in Bizerte",See original (French),Local Guide ¬∑ 185 reviews ¬∑ 56 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,Response from the owner,2 years ago,"Hello ‚ù§, we would like to thank you for your review and we hope to see you again at our hotel very soon‚ù§",,,Translated by Google,„?ª
gerdsander,5-Mar,11 years ago,Tripadvisor,"I was at the Bizerte Resort for work in Nov/Dec 13.||The room was fine, but the carpet needed to be replaced; it was a few years old.||The internet was free, but it was very difficult to log in; you get an access PIN that doesn't always ‚?¶",See original (German),,,,,,,,,,,,,Translated by Google,„?ª
Marco Passero,5-Apr,3 years ago,Google,"Near the sea and the old port of BISERTE, large and comfortable rooms, kind and attentive staff, room facing the sea, good parking, the kitchen could be improved a little... but in these times of covid it's fine like this",See original (Italian),"Local Guide ¬∑ 925 reviews ¬∑ 6,043 photos",Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Divers Multiples,5-May,a year ago,Google,"I liked the hotel, service and location, I recommend booking",See original (French),2 reviews,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
Farid L,5-May,8 years ago,Tripadvisor,"I spent two nights in the resort, the service is pleasant, the rooms are clean, the beach is 50 meters away, the rooms have a sea view, excellent hotel recommended for a long holiday and also for work, greetings",See original (Italian),,,,,,,,,,,,,Translated by Google,„?ª
Nabil HASSAN,5-May,2 years ago,Google,"Since my wife and I attended a conference there, we have been impatiently waiting to return and stay there for a few nights..... I highly recommend it!",See original (French),Local Guide ¬∑ 126 reviews ¬∑ 132 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
paolo turriziani,5-Apr,6 years ago,Google,Good. Helpful and courteous staff. Excellent TV system. Good WiFi. Room and bathroom very good.,See original (Italian),Local Guide ¬∑ 552 reviews ¬∑ 161 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Nada Zrelli,5-Apr,4 years ago,Google,"Good value for money
Welcoming staff
Clean room ‚?¶",See original (French),Local Guide ¬∑ 11 reviews ¬∑ 40 photos,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Kennet Arfman,5-Mar,7 years ago,Google,Has seen its best days. Looks clean and nice at first but then you discover it is dirty and worn out. Nice hotel anyway.,See original (Swedish),Local Guide ¬∑ 141 reviews ¬∑ 423 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Data X Foot,5-Jan,2 years ago,Google,"Poor hygiene (see photos of the restrooms)
Unpleasant service (above average)
Pool close to the giant bathtub, overcrowded with little respect for anyone ‚?¶",See original (French),Local Guide ¬∑ 40 reviews ¬∑ 6 photos,Ó??,More,Ó£?,,Ó†ç,Share,Response from the owner,2 years ago,"We thank you for coming to our hotel and taking the time to write a review to which we pay the greatest attention. Your complaint will be forwarded to our hotel management and will be treated with the greatest attention.
Kind regards.",Like,1,Translated by Google,„?ª
Kaouthar Meddeb,5-May,8 years ago,Google,"Seafront hotel, soft atmosphere, friendly welcome, quality gastronomy, fresh fish, Caribbean SPA center with qualified, attentive staff, well-being treatments with natural organic products, a real zen getaway, excellent value for money, I will gladly come back",See original (French),Local Guide ¬∑ 27 reviews ¬∑ 167 photos,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
Dalinda Baraket,5-Jan,3 years ago,Google,"I spent 2 hours at the Spa, frankly I am disappointed in terms of hygiene, left wanting, sauna too dusty, jacuzzi not very clean.",See original (French),1 review,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,2,Translated by Google,„?ª
bechir naouali,5-Jan,a year ago,Google,"Very dirty, very expensive, very bad, run away in 5 years it will close if not before",See original (French),4 reviews ¬∑ 6 photos,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,4,Translated by Google,„?ª
Rainer H aus A,5-Apr,6 years ago,Google,"Staff friendly and concierge courteous and helpful.
Food... takes some getting used to ???
Rooms always clean ??ç ‚?¶",See original (German),Local Guide ¬∑ 18 reviews ¬∑ 16 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Dogan Kurter,5-Feb,5 years ago,Google,"Room not so clean...breakfast, all tables dirty, no one clears them.
Everything was a bit dirty too...",See original (German),Local Guide ¬∑ 93 reviews ¬∑ 8 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Nabil Sfar,5-May,a year ago,Google,Very good hotel very good service with a heavenly location,See original (French),Local Guide ¬∑ 39 reviews ¬∑ 40 photos,Ó??,,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Youssef Lachnani,5-Jan,3 years ago,Google,"Incompetent staff, if you are passing through Bizerte, I do not recommend staying in this hotel!",See original (French),3 reviews,Ó??,More,Ó£?,Like,Ó†ç,Share,,,,,,Translated by Google,„?ª
Safia Ben El Haj,5-May,a year ago,Google,"Great service, smoker coffee with good music and drinks",See original (German),15 reviews ¬∑ 1 photo,Ó??,,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
Nada Babouri,5-Apr,5 years ago,Google,"clean and helpful staff, breakfast could be improved and wifi doesn't always work",See original (Italian),1 review,Ó??,More,Ó£?,,Ó†ç,Share,,,,Like,1,Translated by Google,„?ª
